,Unnamed: 0,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Tên xe,Giá xe,Nhãn hiệu,Mẫu xe,Nhiên liệu,Dung tích
0,0,2016,Xe đã dùng,86000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Vios 1.5E ,268000000,Toyota,Vios 1.5E ,Xăng,1.5
1,2,2015,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.5Q ,605000000,Toyota,Camry 2.5Q ,Xăng,2.5
2,3,2013,Xe đã dùng,79000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Màu khác,Màu khác,5,5,FWD - Dẫn động cầu trước,Mazda CX5 2.0 AT ,455000000,Mazda,CX5 2.0 AT ,Xăng,2.0
3,4,2019,Xe đã dùng,65000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Ford Ranger XLS 2.2L 4x2 AT ,525000000,Ford,Ranger XLS 2.2L 4x2 AT ,Dầu,2.2
4,5,2011,Xe đã dùng,135000,Lắp ráp trong nước,SUV,Số tay,Dầu 2.5 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.5G ,445000000,Toyota,Fortuner 2.5G ,Dầu,2.5
5,6,2021,Xe đã dùng,20000,Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.5Q ,1050000000,Toyota,Camry 2.5Q ,Xăng,2.5
6,7,2019,Xe đã dùng,50000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.25 L,Nhiều màu,Nhiều màu,5,4,FWD - Dẫn động cầu trước,Hyundai i10 Grand 1.2 AT ,335000000,Hyundai,i10 Grand 1.2 AT ,Xăng,1.25
7,9,2021,Xe đã dùng,9000,Lắp ráp trong nước,Van/Minivan,Số tự động,Xăng 2.0 L,Kem,Kem,7,5,FWD - Dẫn động cầu trước,Ford Tourneo Titanium 2.0 AT ,830000000,Ford,Tourneo Titanium 2.0 AT ,Xăng,2.0
8,10,2021,Xe đã dùng,73000,Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,7,5,FWD - Dẫn động cầu trước,Suzuki XL7 1.5 AT ,469000000,Suzuki,XL7 1.5 AT ,Xăng,1.5
9,13,2020,Xe đã dùng,35000,Nhập khẩu,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Honda Civic RS 1.5 AT ,620000000,Honda,Civic RS 1.5 AT ,Xăng,1.5
